title,rank,meta,rating
Love Game in Eastern Fantasy,#373,"Chinese Drama - 2024, 32 episodes",8.5
Our Youth,#374,"Japanese Drama - 2024, 10 episodes",8.5
"Love Me, Love My Voice",#375,"Chinese Drama - 2023, 33 episodes",8.5
F4 Thailand: Boys over Flowers,#376,"Thai Drama - 2021, 16 episodes",8.5
What's Wrong with Secretary Kim,#377,"Korean Drama - 2018, 16 episodes",8.5
Remembrance of Things Past,#378,"Chinese Drama - 2021, 12 episodes",8.5
Reborn Rich,#379,"Korean Drama - 2022, 16 episodes",8.5
Master's Sun,#380,"Korean Drama - 2013, 17 episodes",8.5
Shine (Acoustic Ver.),#381,"Thai Drama - 2025, 8 episodes",8.5
Goodbye My Princess: Director's Cut,#382,"Chinese Drama - 2019, 55 episodes",8.5
Revenged Love,#383,"Chinese Drama - 2025, 24 episodes",8.5
